null;Banan;100g;88
null;Jabłko;100g;52
null;Marchew;100g;41
null;Pomarańcz;100g;47
null;Truskawki;100g;32
null;Płatki czekoladowe;100g;391
null;Buraczki;100g;44
null;Płatki owsiane;100g;60
null;Szynka;100g;145
null;Chipsy;100g;536
null;Ryż;100g;130
null;Makaron;100g;131
null;Penne;100g;118
null;Maslo;100g;716
null;Smalec;100g;987
null;Jajko;100g;155
null;Kurczak;100g;239
null;Wołowina;100g;250
